sample_id,xvar1,xvar2,group
S1,-7.349283839174685,-2.790494173997139,swl
S2,-6.34619813015244,-3.8400957951457606,swl
S3,-5.671026573941876,-5.887256482291711,swl
S4,-6.005158200156586,-8.79979735642241,swl
S5,-3.5920876894026605,-5.574080044213137,swl
S6,-4.162483304932527,-1.25592962741214,swl
S7,-5.328144429604382,-0.2795560263436627,swl
S8,-3.0504766729608974,1.2421130198498638,swl
S9,-1.8044489476350574,5.018652420209097,swl
S10,0.1430018882696995,4.833509878874416,swl
S11,1.325473218809007,9.034679684981352,swl
S12,-1.77980933081564,12.60765440058951,swl
S13,-3.468889605305577,12.370929857688946,swl
S14,-4.155805277944086,10.800902685027406,swl
S15,-5.521346658683735,10.214157417215494,swl
R1,-0.36176484133929065,-0.6346428406945037,rgn
R2,-0.4902592916685844,-0.21093354211761906,rgn
R3,-3.1356790862616837,-5.000230276792696,rgn
R4,0.8960070004144995,-3.240915580527787,rgn
R5,1.379357988301937,-4.368811311196048,rgn
R6,1.0827614792981173,-5.720536084373403,rgn
R7,1.9801501404688437,-9.324828443789421,rgn
R8,0.7205360843734177,-17.28595772118085,rgn
R9,4.328743149265414,-5.958181734444793,rgn
R10,3.939805646386958,-5.7509326210104454,rgn
R11,4.171694376640723,-4.3292037028508155,rgn
R12,6.156680329756362,-2.953530143232154,rgn
R13,5.004375259061391,2.1365080827154337,rgn
R14,4.9762814903514005,3.4836273200386962,rgn
R15,5.7580712015843005,4.274858379772496,rgn
R16,7.405010823009256,1.5322617786579578,rgn
R17,4.0749781237046925,5.882190392852216,rgn
R18,4.335190899461153,6.0277253258416685,rgn
R19,2.8070741030718906,5.3677520379496215,rgn
R20,1.4060700962556982,3.8585179385621586,rgn
R21,2.2099663795882627,1.4585732049924083,rgn
